20 02:41:46.471  INFO  main ConnectionHandler nextRequest: request (17) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:46.473  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:46.473  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:46.476  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:46.476  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:46.479  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:46.479  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:46.480  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:46.485  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:46.485  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:46.495  INFO  main ConnectionHandler run: Completed processing request 17
20 02:41:47.459  INFO  main ConnectionHandler nextRequest: request (18) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:47.461  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:47.461  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:47.463  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:47.464  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:47.466  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:47.467  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:47.467  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:47.472  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:47.472  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:47.480  INFO  main ConnectionHandler run: Completed processing request 18
20 02:41:48.159  INFO  main ConnectionHandler nextRequest: request (19) https:::ffff:141.1.194.254 User=USERID Type=1 Priv=0x2 length=88
20 02:41:48.161  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC generateKVMLaunchScript
20 02:41:48.162  INFO  main FuncIface getValue[381] Call Function generateKVMLaunchScript
20 02:41:48.163  INFO  main FuncIface FunctionInterface::generateKVMLaunchScript args = 141.1.194.54@443@0@1681960810964@1@1@0@browser@USERID@0@0@0@0@1@1@2
20 02:41:48.164  INFO  main FuncIface ipAddress = 141.1.194.54, webPort = 443, ipveFormat = false, kvmType = 2, buttonType = 1, encryp = 1, aimSessionId = 1, sessionPriv = 4098, userName = USERID, strAllowPreemption = false, preemptionTimeout = 0, reservationId = 0, authKey = 0, isSupportHighSec = 1
20 02:41:48.471  INFO  main ConnectionHandler nextRequest: request (9) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:48.473  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:48.473  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:48.476  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:48.476  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:48.478  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:48.479  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:48.479  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:48.485  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:48.486  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:48.493  INFO  main ConnectionHandler run: Completed processing request 9
20 02:41:49.459  INFO  main ConnectionHandler nextRequest: request (10) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:49.461  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:49.461  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:49.463  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:49.464  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:49.466  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:49.467  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:49.467  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:49.472  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:49.473  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:49.480  INFO  main ConnectionHandler run: Completed processing request 10
20 02:41:49.816  INFO  main FuncIface launching script: /usr/local/bin/launch_kvm.sh -i 141.1.194.54 -p 3900 -h https -u 4098  -t html5 -w 443 -n USERID -k 0x6AB0D6FE -v 0
20 02:41:50.456  INFO  main ConnectionHandler nextRequest: request (11) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:50.459  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:50.460  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:50.462  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
